species,genus,family,order,class,common_name,taxonomic_resolution
Alouatta_macconnelli,Alouatta,Atelidae,Primates,Mammalia,Guianan red howler monkey,species
Alouatta_palliata,Alouatta,Atelidae,Primates,Mammalia,Mantled howler monkey,species
Alouatta_sara,Alouatta,Atelidae,Primates,Mammalia,Bolivian red howler monkey,species
Alouatta_seniculus,Alouatta,Atelidae,Primates,Mammalia,Red howler monkey,species
Aotus_nancymaae,Aotus,Aotidae,Primates,Mammalia,Nancy Ma's night monkey,species
Aotus_nigriceps,Aotus,Aotidae,Primates,Mammalia,Black-headed night monkey,species
Aotus_vociferans,Aotus,Aotidae,Primates,Mammalia,Spix's night monkey,species
Ateles_chamek,Ateles,Atelidae,Primates,Mammalia,Black spider monkey,species
Ateles_geoffroyi,Ateles,Atelidae,Primates,Mammalia,Central-American spider monkey,species
Ateles_paniscus,Ateles,Atelidae,Primates,Mammalia,Red-faced spider monkey,species
Bassaricyon_alleni,Bassaricyon,Procyonidae,Carnivora,Mammalia,Allen's olingo,species
Cacajao_calvus,Cacajao,Pitheciidae,Primates,Mammalia,White bald-headed uacari,species
Caluromys_lanatus,Caluromys,Didelphidae,Didelphimorphia,Mammalia,Bare-tailed woolly opossum,species
Caluromys_philander,Caluromys,Didelphidae,Didelphimorphia,Mammalia,Brown-eared woolly opossum,species
Cebus_albifrons,Cebus,Cebidae,Primates,Mammalia,White-fronted capuchin monkey,species
Cebus_imitator,Cebus,Cebidae,Primates,Mammalia,Guianan weeper capuchin monkey,species
Choloepus_didactylus,Choloepus,Megalonychidae,Pilosa,Mammalia,Southern two-toed sloth,species
Choloepus_hoffmanni,Choloepus,Megalonychidae,Pilosa,Mammalia,Hoffmann's two-toed sloth,species
Coendou_bicolor,Coendou,Erethizontidae,Rodentia,Mammalia,Bicolored-spined porcupine,species
Cyclopes_didactylus,Cyclopes,Cyclopedidae,Pilosa,Mammalia,Silky anteater,species
Didelphis_marsupialis,Didelphis,Didelphidae,Didelphimorphia,Mammalia,Common opossum,species
Eira_barbara,Eira,Mustelidae,Carnivora,Mammalia,Tayra,species
Lagothrix_lagothricha,Lagothrix,Atelidae,Primates,Mammalia,Humboldt's woolly monkey,species
Leontocebus_fuscicollis,Leontocebus,Callitrichidae,Primates,Mammalia,Spix's saddle-back tamarin,species
Leontocebus_nigricollis,Leontocebus,Callitrichidae,Primates,Mammalia,Black-mantled tamarin,species
Leontocebus_weddelli,Leontocebus,Callitrichidae,Primates,Mammalia,Weddell's saddle-back tamarin,species
Leopardus_spp,Leopardus,Felidae,Carnivora,Mammalia,Ocelot,genus
Marmosa_spp,Marmosa,Didelphidae,Didelphimorphia,Mammalia,Mouse opossum,genus
Marmosops_spp,Marmosops,Didelphidae,Didelphimorphia,Mammalia,Slender opossum,genus
Metachirus_nudicaudatus,Metachirus,Didelphidae,Didelphimorphia,Mammalia,Brown four-eyed opossum,species
Nasua_nasua,Nasua,Procyonidae,Carnivora,Mammalia,South American coati,species
Philander_opossum,Philander,Didelphidae,Didelphimorphia,Mammalia,Gray four-eyed opossum,species
Pithecia_irrorata,Pithecia,Pitheciidae,Primates,Mammalia,Gray's bald-faced saki,species
Pithecia_monachus,Pithecia,Pitheciidae,Primates,Mammalia,Geoffroy's monk saki,species
Plecturocebus_brunneus,Plecturocebus,Pitheciidae,Primates,Mammalia,Brown titi,species
Plecturocebus_cupreus,Plecturocebus,Pitheciidae,Primates,Mammalia,Coppery titi,species
Potos_flavus,Potos,Procyonidae,Carnivora,Mammalia,Kinkajou,species
Pteroglossus_azara,Pteroglossus,Ramphastidae,Piciformes,Aves,Ivory-billed aracari,species
Pteroglossus_beauharnaesii,Pteroglossus,Ramphastidae,Piciformes,Aves,Curl-crested aracari,species
Ramphastos_spp,Ramphastos,Ramphastidae,Piciformes,Aves,Tucan,genus
Saguinus_midas,Saguinus,Callitrichidae,Primates,Mammalia,Red-handed tamarin,species
Saimiri_boliviensis,Saimiri,Cebidae,Primates,Mammalia,Bolivian squirrel monkey,species
Saimiri_sciureus,Saimiri,Cebidae,Primates,Mammalia,Common squirrel monkey,species
Sapajus_apella,Sapajus,Cebidae,Primates,Mammalia,Tufted capuchin monkey,species
Sciuridae_spp,Sciuridae_spp,Sciuridae,Sciuromorpha,Mammalia,Squirrel,family
Selenidera_piperivora,Selenidera,Ramphastidae,Piciformes,Aves,Guianan toucanet,species
Selenidera_reinwardtii,Selenidera,Ramphastidae,Piciformes,Aves,Golden-collared toucanet,species
Tamandua_tetradactyla,Tamandua,Myrmecophagidae,Pilosa,Mammalia,Collared anteater,species
Tamarinus_imperator,Saguinus,Callitrichidae,Primates,Mammalia,Emperor tamarin,species
Tamarinus_mystax,Saguinus,Callitrichidae,Primates,Mammalia,Spix's mustached tamarin,species
